Time_sec,Car_ID,sigAcc,sigFollowing,sigFrameId,sigGlobalX,sigGlobalY,sigLocalX,sigLocalY,sigPreceding,sigSpaceHeadway,sigTimeHeadway,sigTotalFrames,sigVel,v_Length,v_Width,v_Class,Lane_ID
12.0,4.0,0.0,-1.0,10.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
12.0,5.0,0.0,9.0,5.0,139.30421550407,20.224676413496,0.0,90.074376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,9.0
12.0,12.0,0.0,10.0,11.0,164.4582098197,-17.34937376084,0.0,52.656392944069,11.0,65.079996429891,-1.0,100.0,0.0,5.0,1.8,1.0,1.0
12.0,14.0,0.0,4.0,11.0,199.81683637967,-18.35392288921,0.0,15.877766947122,8.0,271.07892683585,-1.0,100.0,0.0,5.0,1.8,1.0,4.0
12.0,16.0,0.0,-1.0,11.0,312.70480958366,148.11088225405,0.0,29.408468415099,-1.0,-1.0,-1.0,100.0,0.0,5.0,1.8,1.0,25.0
12.0,17.0,0.0,-1.0,8.0,305.50123502875,144.91774260349,0.0,252.2537052321,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,2.0
12.0,21.0,0.36353355589987,-1.0,4.0,159.86910299338,33.012588013582,0.0,29.704214482845,1.0,12.35681661973,1.6984487087602,100.0,7.2753545962247,5.0,1.8,1.0,28.0
13.0,1.0,-0.5,21.0,7.0,156.85065405746,31.533316026957,0.0,52.971913938783,-1.0,-1.0,-1.0,100.0,5.9108828362077,5.0,1.8,1.0,28.0
13.0,4.0,0.0,-1.0,11.0,159.30941464285,-25.455798497398,0.0,26.867872139509,14.0,140.72989480761,-1.0,100.0,0.0,5.0,1.8,1.0,27.0
13.0,5.0,0.0,-1.0,6.0,128.63887680284,14.139810168164,0.0,14.294376213755,-1.0,-1.0,-1.0,100.0,35.0,5.0,1.8,1.0,19.0
